question_mark,_www,ratio_digits_url,ratio_digits_host,tld_in_subdomain,abnormal_subdomain,prefix_suffix,phish_hints,statistical_report,ratio_intHyperlinks,external_favicon,ratio_intMedia,ratio_extMedia,empty_title,domain_in_title,domain_with_copyright,domain_age,dns_record,google_index,page_rank,status
0,0,0.0,0.0,0,0,0,0,0,0.75,1,100.0,0.0,0,1,0,5161,0,0,8,0
0,0,0.109090909,0.0,0,0,1,0,0,0.0,0,0.0,0.0,1,1,1,-1,0,1,7,0
0,1,0.0,0.0,0,0,0,0,0,0.719101124,1,93.44262295,6.557377049,0,0,0,4011,0,0,2,0
1,1,0.0,0.0,0,0,0,1,0,0.875,0,100.0,0.0,0,1,0,3480,0,1,0,0
0,0,0.0,0.0,0,0,0,0,0,0.25,0,0.0,0.0,0,1,1,7202,1,1,2,1
1,1,0.114583333,0.0,0,0,0,1,0,0.0,0,0.0,0.0,0,1,0,4843,0,0,5,1
0,1,0.0,0.0,0,0,0,0,0,0.294117647,0,0.0,0.0,0,0,1,7391,0,0,3,0
0,1,0.0,0.0,0,0,0,0,0,0.901515152,1,90.0,10.0,0,1,1,-1,0,1,4,0
0,1,0.0,0.0,0,0,0,0,0,0.384615385,1,0.0,0.0,0,0,0,5005,0,1,3,0
0,0,0.0,0.0,0,0,0,0,0,0.385964912,1,0.0,100.0,0,1,1,7299,0,0,5,0
0,1,0.0,0.0,0,0,1,0,0,0.5,1,0.0,100.0,0,0,0,3029,0,0,4,0
0,0,0.0,0.0,0,0,0,0,0,0.958801498,1,100.0,0.0,0,1,1,12471,0,0,5,0
0,0,0.0,0.0,0,0,0,0,0,1.0,0,0.0,0.0,0,1,0,-1,0,1,0,1
0,1,0.0,0.0,0,0,1,0,0,0.95,1,100.0,0.0,0,1,0,-1,0,1,5,0
0,0,0.264150943,0.4,0,0,0,0,0,0.19047619,1,20.0,80.0,0,1,1,5614,0,1,5,1
0,0,0.088235294,0.101694915,0,0,0,0,0,0.75,0,0.0,0.0,0,1,0,5613,0,1,5,1
0,1,0.0,0.0,0,0,0,0,0,0.629032258,1,60.0,40.0,0,1,0,3772,0,0,4,0
0,0,0.068965517,0.095238095,0,0,1,0,0,0.932038835,1,100.0,0.0,0,1,1,6663,1,1,0,1
1,1,0.0,0.0,0,0,0,1,0,1.0,0,100.0,0.0,0,1,0,-1,0,1,0,1
0,1,0.0,0.0,0,0,0,1,1,0.0,0,0.0,0.0,1,1,0,2926,0,1,1,1
1,0,0.074468085,0.0,0,0,0,0,0,0.904761905,1,100.0,0.0,0,1,0,134,0,1,2,1
0,0,0.0,0.0,0,0,0,0,0,0.9296875,1,27.77777778,72.22222222,0,1,1,7298,0,0,5,0
0,0,0.0,0.0,0,0,1,3,0,1.0,0,0.0,0.0,0,1,0,-1,0,1,0,1
0,1,0.0,0.0,0,0,0,0,0,0.877394636,0,63.15789474,36.84210526,0,1,1,7371,0,1,5,0
0,0,0.141304348,0.0,0,0,1,3,0,1.0,0,0.0,0.0,0,1,1,-1,0,1,1,1
0,1,0.0,0.0,0,0,1,0,0,0.871428571,1,88.88888889,11.11111111,0,1,1,-1,0,1,4,0
0,0,0.391304348,0.0,0,0,0,0,0,0.869565217,1,0.0,0.0,0,1,0,1963,0,0,3,1
0,0,0.115384615,0.130434783,0,0,0,0,0,0.0,0,0.0,0.0,1,1,0,5626,0,1,5,1
0,1,0.0,0.0,0,0,0,0,0,0.945619335,1,84.61538462,15.38461538,0,1,1,-1,0,0,2,0
0,1,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,1,1,0,3593,0,1,0,1
1,1,0.123287671,0.0,0,0,0,0,0,1.0,0,0.0,0.0,0,1,0,2403,0,0,3,1
1,0,0.0,0.0,0,0,0,0,0,1.0,0,0.0,0.0,0,1,0,72,0,1,0,1
0,1,0.333333333,0.0,0,0,0,0,0,0.0,0,0.0,0.0,1,1,1,3452,0,1,2,0
1,0,0.149606299,0.0,1,0,1,0,0,1.0,0,100.0,0.0,0,1,1,3993,0,1,0,1
0,1,0.0,0.0,0,0,0,0,0,0.807228916,1,20.68965517,79.31034483,0,1,0,8206,0,1,5,0
0,0,0.0,0.0,0,0,0,0,0,0.835616438,1,0.0,0.0,0,0,0,2247,0,0,5,0
0,1,0.0,0.0,0,0,0,0,0,0.432432432,1,0.0,100.0,0,1,0,2031,0,0,4,0
0,0,0.017241379,0.0,0,0,0,0,0,0.911894273,0,100.0,0.0,0,0,0,7133,0,0,7,0
1,0,0.028169014,0.0,0,0,1,0,0,0.736842105,0,0.0,0.0,0,1,0,8018,0,1,4,1
0,0,0.0,0.0,0,0,0,0,0,0.751879699,1,0.0,100.0,0,0,0,8823,0,0,4,0
0,0,0.0,0.0,0,0,0,1,0,0.0,0,0.0,0.0,1,1,0,4633,0,1,0,1
1,1,0.115384615,0.0,0,0,0,0,0,0.0,0,0.0,0.0,1,1,0,2100,0,1,0,1
0,1,0.0,0.0,0,0,0,0,0,0.960591133,0,100.0,0.0,0,0,0,-1,0,1,6,0
0,1,0.0,0.0,0,0,0,0,0,0.954545455,0,100.0,0.0,0,1,0,-1,0,0,5,0
0,0,0.108910891,0.0,0,0,1,0,0,0.44,1,0.0,100.0,0,1,1,8346,0,1,10,1
0,0,0.0,0.0,0,0,0,0,0,0.375,1,36.84210526,63.15789474,0,1,1,4567,0,0,3,0
1,0,0.03030303,0.0,0,0,0,0,0,0.0,1,0.0,0.0,0,1,0,7765,0,0,5,1
0,1,0.0,0.0,0,0,0,0,0,0.916666667,0,100.0,0.0,0,1,1,-1,0,0,3,0
0,0,0.0,0.0,0,0,0,0,0,0.169230769,0,0.0,100.0,0,1,1,3638,0,0,1,0
0,0,0.0,0.0,0,0,0,0,0,0.950226244,0,100.0,0.0,0,0,1,7130,0,0,7,0
0,0,0.08974359,0.0,0,0,1,0,0,0.987261146,0,0.0,100.0,0,1,1,-2,0,1,3,0
0,1,0.0,0.0,0,0,0,0,0,0.982978723,0,100.0,0.0,0,0,1,3902,0,0,3,0
0,0,0.076923077,0.0,0,0,0,0,0,0.666666667,1,100.0,0.0,0,1,1,-1,0,1,2,1
1,1,0.148648649,0.0,0,0,0,0,0,0.4,0,0.0,100.0,0,0,0,5160,0,1,8,0
1,1,0.037037037,0.0,0,0,1,3,0,0.9,0,0.0,0.0,0,0,0,531,0,1,0,1
1,0,0.192,0.0,1,0,1,0,0,1.0,0,100.0,0.0,0,1,1,3993,0,1,0,1
0,0,0.0,0.0,0,0,0,0,0,0.993333333,0,100.0,0.0,0,0,1,954,0,0,2,0
0,1,0.0,0.0,0,0,0,0,0,0.897959184,0,66.66666667,33.33333333,0,0,1,4918,0,0,5,0
0,0,0.0,0.0,0,0,0,0,0,0.80952381,1,100.0,0.0,0,0,1,-1,0,0,2,0
0,0,0.15,0.0,0,0,0,1,0,0.0,0,0.0,0.0,1,1,1,8299,0,1,3,0
0,0,0.085106383,0.148148148,0,0,0,0,0,0.879310345,1,83.33333333,16.66666667,0,0,0,6609,0,1,5,1
1,1,0.181467181,0.0,0,0,0,2,0,1.0,0,0.0,0.0,0,1,0,31,0,1,0,1
0,0,0.0,0.0,0,0,0,0,0,0.680094787,1,43.03797468,56.96202532,0,1,1,6070,0,0,5,0
1,0,0.053097345,0.0,0,0,0,1,0,0.44,1,0.0,100.0,0,1,1,8347,0,1,10,1
0,1,0.0,0.0,0,0,1,2,0,0.764705882,0,0.0,0.0,0,0,1,-1,0,1,1,1
0,1,0.0,0.0,0,0,0,0,0,0.112244898,1,33.33333333,66.66666667,0,1,1,1850,0,1,0,1
0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,100.0,1,1,0,7087,0,1,3,1
0,1,0.0,0.0,0,0,0,0,0,0.943548387,1,95.45454545,4.545454545,0,1,0,5832,0,0,3,0
0,0,0.027777778,0.034482759,0,0,0,0,0,0.071428571,1,0.0,0.0,0,1,0,7295,0,1,5,1
0,0,0.0,0.0,0,0,0,2,0,0.344827586,1,75.0,25.0,0,1,1,5656,0,1,0,1
0,0,0.0,0.0,0,0,0,0,0,0.885057471,0,100.0,0.0,0,1,1,5143,0,0,5,0
0,0,0.0,0.0,0,0,1,0,0,0.924528302,1,0.0,0.0,0,1,1,8217,0,0,8,0
0,0,0.0,0.0,0,0,0,0,0,0.730337079,1,100.0,0.0,0,1,1,-1,0,0,4,0
0,0,0.0,0.0,0,0,0,0,0,0.866666667,0,0.0,0.0,0,1,0,5158,0,0,8,0
0,0,0.0,0.0,0,0,0,1,0,0.260869565,1,80.0,20.0,0,1,0,-12,0,1,0,1
0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,1,1,0,-1,0,1,0,1
0,1,0.0,0.0,0,0,0,0,0,0.525641026,1,91.66666667,8.333333333,0,1,1,2480,0,0,4,0
0,1,0.0,0.0,0,0,0,0,0,0.875,0,0.0,0.0,0,0,1,385,0,1,0,1
0,0,0.0,0.0,0,0,1,3,0,0.526315789,1,0.0,100.0,0,1,1,-1,0,0,1,1
0,1,0.0,0.0,0,0,1,0,0,0.941176471,0,100.0,0.0,0,1,0,3751,0,0,4,0
0,0,0.0,0.0,0,0,1,0,0,0.75,1,100.0,0.0,0,1,0,5456,0,1,3,0
0,0,0.076923077,0.11627907,0,0,0,0,0,1.0,0,0.0,0.0,0,1,0,1834,0,1,0,1
0,0,0.131147541,0.0,0,0,0,0,0,0.210526316,1,20.0,80.0,0,1,1,7295,0,1,5,1
0,0,0.19266055,0.0,0,0,1,4,0,1.0,0,0.0,0.0,1,1,0,658,0,1,0,1
2,0,0.121287129,0.0,0,0,1,7,0,0.529411765,1,100.0,0.0,0,1,0,505,0,1,0,1
0,0,0.0,0.0,0,0,0,0,0,0.9,0,80.0,20.0,0,1,1,8704,0,0,3,0
1,0,0.03030303,0.0,0,0,1,1,0,0.115384615,1,0.0,0.0,0,1,0,8018,0,1,4,1
0,1,0.0,0.0,0,0,0,0,0,0.528571429,1,0.0,100.0,0,1,0,1137,0,1,3,0
0,0,0.0,0.0,0,0,1,2,0,0.0,0,0.0,0.0,1,1,0,7857,0,1,4,1
0,1,0.0,0.0,0,0,0,0,0,0.904761905,0,100.0,0.0,0,1,0,7351,0,0,5,0
0,1,0.0,0.0,0,0,0,0,0,1.0,0,0.0,0.0,0,0,0,-1,0,0,4,0
0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,1,1,0,539,0,0,0,1
0,1,0.0,0.0,0,0,0,0,0,0.862745098,1,100.0,0.0,0,1,1,6255,0,0,6,0
0,0,0.0,0.0,0,0,0,0,0,0.857142857,0,100.0,0.0,0,1,0,8934,0,0,5,0
0,0,0.253333333,0.0,0,0,0,0,0,0.897727273,0,100.0,0.0,0,1,0,2192,0,1,0,1
0,0,0.0,0.0,0,0,0,0,0,0.111111111,1,0.0,0.0,0,1,1,7296,0,1,5,1
0,0,0.0,0.0,0,0,1,2,0,0.666666667,1,0.0,0.0,0,1,1,-1,0,0,4,1
0,1,0.0,0.0,0,0,0,0,0,0.963636364,0,83.33333333,16.66666667,0,0,1,3588,0,0,3,0
1,1,0.207407407,0.0,0,0,1,2,0,0.782608696,0,100.0,0.0,0,1,1,4284,0,1,1,1
0,1,0.0,0.0,0,0,0,0,0,0.994652406,0,100.0,0.0,0,1,0,7586,0,0,5,0
0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,1,1,0,6,0,1,0,1
0,0,0.0,0.0,0,0,0,0,0,1.0,0,100.0,0.0,0,1,1,95,0,0,0,1
0,1,0.0,0.0,0,0,0,0,0,0.683870968,1,4.761904762,95.23809524,0,0,0,2600,0,0,3,0
1,1,0.097560976,0.0,0,0,0,0,0,0.98816568,0,100.0,0.0,0,1,1,-1,0,0,4,0
0,1,0.0,0.0,0,0,0,0,0,0.12,1,0.0,100.0,0,1,0,3727,0,0,2,0
0,1,0.0,0.0,0,0,0,0,0,0.904761905,0,100.0,0.0,0,1,0,90,0,1,0,1
0,1,0.0,0.0,0,0,0,0,0,0.5,1,0.0,0.0,0,1,1,4763,0,0,3,0
1,0,0.056962025,0.0,0,0,1,0,0,0.115384615,1,0.0,0.0,0,1,0,8019,0,1,4,1
0,1,0.048780488,0.153846154,0,0,0,0,0,0.645833333,1,50.67567568,49.32432432,0,1,1,8336,0,0,5,0
1,0,0.0,0.0,0,0,1,0,0,0.852320675,1,0.0,0.0,0,1,1,1,0,1,0,1
0,1,0.0,0.0,0,0,0,0,0,0.990954774,0,98.85057471,1.149425287,0,1,1,6660,0,0,2,0
0,0,0.0,0.0,0,0,0,0,0,0.272727273,1,9.090909091,90.90909091,0,1,1,7298,0,0,5,0
0,0,0.435294118,0.0,0,0,0,0,2,0.0,0,0.0,0.0,1,1,0,-1,0,1,0,1
0,0,0.0,0.0,0,0,0,2,0,0.19047619,1,20.0,80.0,0,1,1,5615,0,1,5,1
2,0,0.248366013,0.0,0,0,0,0,0,1.0,0,0.0,0.0,1,1,0,-1,0,1,0,1
0,1,0.033333333,0.0,0,0,1,0,0,0.47,1,9.090909091,90.90909091,0,0,0,10674,0,1,8,0
0,0,0.024390244,0.04,0,0,0,0,2,1.0,0,0.0,0.0,1,1,0,5511,1,1,1,1
0,0,0.0,0.0,0,0,0,0,0,0.923076923,0,66.66666667,33.33333333,0,1,1,-1,0,0,1,0
0,1,0.0,0.0,0,0,0,0,0,0.358695652,1,0.0,0.0,0,0,0,4705,0,0,4,0
0,1,0.0,0.0,0,0,0,0,0,0.777777778,1,0.0,0.0,0,1,1,1099,0,0,2,1
1,0,0.126760563,0.0,0,0,0,0,0,0.631578947,0,33.33333333,66.66666667,0,1,1,5613,0,1,5,1
0,1,0.0,0.0,0,0,0,1,0,1.0,0,0.0,0.0,0,1,0,1807,0,1,0,1
0,1,0.0,0.0,0,0,0,0,0,0.951923077,0,100.0,0.0,0,1,1,2021,0,1,0,1
0,0,0.0,0.0,0,0,0,0,0,0.93877551,0,100.0,0.0,0,1,0,-1,0,0,5,0
0,0,0.131147541,0.0,0,0,0,0,0,0.135135135,1,0.0,100.0,0,1,1,7298,0,1,5,1
0,1,0.0,0.0,0,0,0,0,0,0.950387597,0,24.24242424,75.75757576,0,1,1,-1,0,0,2,0
0,0,0.125,0.0,0,0,0,0,0,0.993801653,1,0.0,0.0,0,1,0,9265,0,1,7,0
0,1,0.0,0.0,0,0,0,0,0,0.326923077,1,2.127659574,97.87234043,0,0,1,1499,0,0,2,0
0,1,0.0,0.0,0,0,0,0,0,0.342857143,1,0.0,100.0,0,1,0,5526,0,1,5,0
1,0,0.159663866,0.0,1,0,0,0,0,1.0,0,0.0,0.0,0,1,0,4003,0,1,0,1
0,0,0.322580645,0.0,0,0,0,0,0,1.0,0,100.0,0.0,0,1,1,-1,0,1,0,1
1,0,0.147540984,0.75,1,1,0,1,2,0.16,1,0.0,100.0,0,1,1,-1,1,1,0,1
0,1,0.0,0.0,0,0,0,0,0,0.857142857,1,100.0,0.0,0,0,1,6190,0,0,3,0
0,1,0.0,0.0,0,0,0,0,0,0.75,1,25.0,75.0,0,1,0,-1,0,0,4,0
0,1,0.0,0.0,0,0,0,0,0,0.862068966,1,66.66666667,33.33333333,0,0,0,2299,0,1,2,0
1,1,0.046511628,0.0,0,0,0,0,0,0.566037736,1,100.0,0.0,0,0,1,5636,0,0,10,0
0,1,0.09375,0.15,0,0,0,0,0,1.0,0,0.0,0.0,0,1,0,112,0,0,0,1
0,0,0.0,0.0,0,0,0,0,0,1.0,0,0.0,0.0,0,1,0,2695,0,0,4,0
0,1,0.0,0.0,0,0,0,0,0,0.895652174,0,0.0,0.0,0,1,0,4544,0,0,5,0
0,0,0.0,0.0,0,0,1,0,0,0.8,0,0.0,100.0,0,1,1,885,0,1,0,1
0,1,0.0,0.0,0,0,0,0,1,0.987341772,0,0.0,0.0,0,0,1,-1,0,1,3,0
0,0,0.0,0.0,0,0,1,0,0,0.0,0,0.0,0.0,1,1,0,4250,0,1,1,1
0,1,0.025,0.0,0,0,0,0,0,0.895522388,0,100.0,0.0,0,1,0,5290,0,0,5,0
0,1,0.0,0.0,0,0,0,0,0,0.8125,1,100.0,0.0,0,1,0,2685,0,0,4,0
0,1,0.0,0.0,0,0,0,0,0,0.852941176,0,0.0,0.0,0,1,1,1309,0,0,2,0
0,0,0.038461538,0.0,0,0,0,0,0,0.125,1,0.0,100.0,0,0,0,2139,0,1,7,1
0,1,0.0,0.0,0,0,0,0,2,0.953216374,1,98.30508475,1.694915254,0,0,1,-1,0,0,5,0
0,1,0.0,0.0,0,0,0,0,0,0.25,0,0.0,0.0,0,1,1,4358,0,0,3,0
0,1,0.0,0.0,0,0,0,0,0,0.961389961,1,100.0,0.0,0,1,1,8311,0,0,4,0
0,0,0.0,0.0,0,0,0,0,0,0.333333333,0,0.0,0.0,0,1,1,315,0,0,0,1
1,0,0.085106383,0.0,0,0,0,0,0,1.0,0,100.0,0.0,0,1,0,604,0,0,0,1
0,0,0.0,0.0,0,0,0,1,0,0.333333333,0,0.0,100.0,0,1,0,-1,0,1,1,1
0,0,0.290909091,0.340425532,0,0,0,0,0,0.227272727,1,100.0,0.0,0,1,1,5615,0,1,5,1
0,0,0.157894737,0.1875,1,0,0,0,0,0.0,0,0.0,0.0,1,1,0,5626,0,1,5,1
0,1,0.0,0.0,0,0,0,0,0,0.379084967,1,0.0,100.0,0,0,0,8516,0,0,10,0
0,1,0.0,0.0,0,0,0,0,0,0.785714286,0,0.0,0.0,0,0,1,9041,0,0,4,0
0,0,0.0,0.0,0,0,0,0,0,0.692307692,1,0.0,0.0,0,0,0,41,0,0,1,0
0,0,0.0,0.0,0,0,0,0,0,0.357142857,1,3.03030303,96.96969697,0,1,1,7299,0,0,5,0
0,1,0.0,0.0,0,0,0,0,0,0.940298507,1,100.0,0.0,0,1,1,-1,0,0,2,0
0,1,0.170731707,0.0,0,0,0,0,0,0.886363636,1,0.0,100.0,0,0,0,6238,0,1,8,0
1,0,0.034482759,0.0,0,0,0,1,0,0.941935484,1,100.0,0.0,0,1,1,3140,0,1,3,1
0,0,0.042553191,0.095238095,0,0,1,0,0,1.0,0,100.0,0.0,0,1,0,-1,0,1,0,1
0,1,0.0,0.0,0,0,0,0,0,0.472727273,1,0.0,0.0,0,0,1,5635,0,0,10,0
0,1,0.363057325,0.0,0,0,0,1,0,0.483870968,1,100.0,0.0,0,1,1,-1,0,1,0,1
0,0,0.0,0.0,0,0,0,0,0,0.598039216,1,0.0,100.0,0,1,1,7449,0,0,8,0
0,0,0.078947368,0.0,0,0,0,0,0,0.6,0,75.0,25.0,0,1,1,8047,0,1,2,1
0,1,0.0,0.0,0,0,0,1,0,0.76,0,0.0,100.0,0,1,0,3777,0,0,7,0
0,0,0.06741573,0.0,0,0,0,0,0,0.0,0,0.0,0.0,1,1,1,7448,0,0,8,0
0,0,0.0,0.0,0,0,0,0,0,0.65625,1,0.0,0.0,0,1,0,3486,0,0,2,0
1,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,1,1,0,4886,0,1,4,1
0,0,0.0,0.0,0,0,0,0,0,0.283333333,1,33.33333333,66.66666667,0,1,1,6126,0,0,4,0
0,1,0.0,0.0,0,0,0,0,0,0.939393939,1,100.0,0.0,0,1,0,7188,0,0,4,0
0,1,0.0,0.0,0,0,0,0,0,0.081632653,1,0.0,100.0,0,0,1,7529,0,0,1,0
0,1,0.1,0.0,0,0,0,0,0,0.927007299,0,100.0,0.0,0,0,0,12126,0,0,7,0
1,1,0.048780488,0.0,0,0,0,0,0,0.19047619,1,0.0,0.0,0,1,0,-1,0,0,4,0
0,1,0.0,0.0,0,0,0,0,0,0.916666667,1,95.23809524,4.761904762,0,1,1,7912,0,0,2,0
0,1,0.0,0.0,0,0,0,0,0,1.0,0,100.0,0.0,0,0,0,78,0,0,0,1
0,1,0.0,0.0,0,0,0,0,0,0.932038835,1,100.0,0.0,0,1,1,7189,1,1,1,1
0,0,0.125,0.15625,0,0,0,0,0,0.0,0,0.0,0.0,1,1,0,5614,0,0,5,1
0,1,0.0,0.0,0,0,0,0,0,0.959287532,0,33.33333333,66.66666667,0,1,1,7453,0,0,5,0
0,0,0.0,0.0,0,0,0,0,0,0.557142857,1,0.0,100.0,0,1,1,7299,0,0,5,0
0,0,0.075757576,0.0,0,0,0,0,0,0.710144928,0,50.0,50.0,0,0,1,11048,0,0,6,0
0,0,0.0,0.0,0,0,1,3,0,0.0,0,0.0,0.0,1,1,0,1422,0,1,0,1
0,0,0.0,0.0,0,0,0,0,0,0.811594203,1,90.90909091,9.090909091,0,0,0,4633,0,0,2,0
0,0,0.0,0.0,0,0,0,0,0,0.939099735,0,100.0,0.0,0,0,1,7132,0,0,7,0
0,1,0.0,0.0,0,0,0,0,0,0.970779221,1,100.0,0.0,0,1,0,7413,0,0,7,0
0,1,0.0,0.0,0,0,0,0,0,0.884848485,0,100.0,0.0,0,0,0,8217,0,0,5,0
0,0,0.0,0.0,1,0,0,0,0,0.857142857,0,0.0,0.0,0,1,0,-1,0,1,2,1
0,0,0.0,0.0,0,0,1,0,0,0.0,0,0.0,0.0,1,1,0,-1,0,1,0,1
0,0,0.0,0.0,0,0,0,0,0,0.894736842,0,33.33333333,66.66666667,0,1,1,232,0,1,0,1
0,0,0.0,0.0,0,0,0,0,0,0.52,0,0.0,0.0,1,1,0,7489,0,0,10,0
0,1,0.0,0.0,0,0,0,0,0,0.585365854,1,100.0,0.0,0,1,1,3295,0,0,4,0
0,0,0.0,0.0,0,0,0,0,0,0.984700974,0,100.0,0.0,0,0,1,7134,0,0,7,0
0,1,0.170731707,0.0,0,0,0,0,0,0.0,0,0.0,0.0,1,1,1,3995,0,0,4,0
1,0,0.192307692,0.260869565,0,0,0,0,0,0.0,0,0.0,0.0,1,1,0,5984,0,1,3,1
0,1,0.0,0.0,0,0,0,0,0,0.990980834,1,100.0,0.0,0,1,1,8048,0,0,6,0
0,0,0.0,0.0,0,0,1,0,0,0.0,0,0.0,0.0,1,1,0,143,0,1,0,1
0,1,0.0,0.0,0,0,0,0,0,1.0,0,0.0,0.0,0,1,0,-1,0,1,0,1
0,0,0.087719298,0.125,0,0,0,1,0,0.272727273,0,50.0,50.0,0,1,1,1547,0,1,2,1
0,0,0.0,0.0,0,0,0,0,0,0.948434622,0,100.0,0.0,0,1,1,7130,0,0,7,0
0,1,0.12,0.0,0,0,0,0,0,0.830917874,1,90.0,10.0,0,0,0,10316,0,0,7,0
0,0,0.0,0.0,0,0,0,2,0,0.217391304,1,75.0,25.0,0,1,0,1202,0,1,0,1
0,1,0.0,0.0,0,0,0,0,0,0.875,0,0.0,0.0,0,0,1,385,0,1,0,1
0,0,0.0,0.0,0,0,1,0,0,0.0,0,0.0,0.0,0,1,0,561,0,1,2,1
0,0,0.0,0.0,0,0,1,2,0,1.0,0,100.0,0.0,0,1,0,330,0,1,0,1
0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,100.0,0,1,0,-1,0,1,6,1
1,0,0.04964539,0.0,0,0,1,1,0,0.736842105,0,0.0,0.0,0,1,0,8019,0,1,4,1
1,1,0.081967213,0.0,0,0,1,0,0,0.455882353,0,100.0,0.0,0,1,1,2568,0,1,1,1
0,0,0.0,0.0,0,0,0,0,0,0.963235294,0,100.0,0.0,0,1,1,5411,0,0,5,0
0,1,0.0,0.0,0,0,0,0,0,0.984313725,0,100.0,0.0,0,1,0,1251,0,0,2,0
0,1,0.0,0.0,0,0,0,0,0,0.941176471,1,100.0,0.0,0,0,1,9174,0,0,7,0
0,0,0.0,0.0,0,0,0,0,0,0.083333333,1,0.0,0.0,0,1,1,7289,0,0,1,1
0,0,0.0,0.0,0,0,1,0,0,0.857142857,0,0.0,0.0,0,0,0,924,0,1,2,1
0,1,0.0,0.0,0,0,1,0,0,0.27027027,1,0.0,100.0,0,0,0,-1,0,0,1,0
1,1,0.13740458,0.0,1,0,1,0,0,1.0,0,0.0,0.0,0,1,0,4004,0,1,0,1
0,1,0.0,0.0,0,0,0,0,0,0.90625,0,100.0,0.0,0,1,0,7988,0,0,4,0
0,0,0.085714286,0.0,0,0,0,0,0,0.0,0,0.0,0.0,1,1,1,-1,0,1,4,0
0,0,0.019230769,0.0,0,0,0,1,0,1.0,0,100.0,0.0,0,1,1,59,0,1,0,1
0,1,0.0,0.0,0,0,0,0,0,0.666666667,0,100.0,0.0,0,1,0,7812,0,1,0,1
1,0,0.325242718,0.0,0,0,0,0,0,0.0,0,0.0,0.0,1,1,0,7905,0,1,7,1
0,0,0.0,0.0,0,0,0,0,0,0.911811024,0,100.0,0.0,0,0,1,7132,0,0,7,0
0,0,0.071428571,0.1,0,0,0,0,2,0.823529412,1,100.0,0.0,0,1,0,-1,1,1,0,1
0,1,0.0,0.0,0,0,0,0,0,0.978947368,0,100.0,0.0,0,0,0,6977,0,0,5,0
